,home_team,away_team,home_point_spread,home_offensive_efficiency,home_defensive_efficiency,away_offensive_efficiency,away_defensive_efficiency
0,UL Monroe,Louisiana Tech,9.5,,,118.78604778906893,85.14144465806098
1,Montana,North Dakota State,-8.0,117.0982482863671,94.72581873571973,106.55737704918033,111.40089418777946
2,Minnesota,Missouri,2.0,126.95312499999997,94.86607142857142,109.26829268292684,97.07317073170731
3,William & Mary,Omaha,1.0,114.62377518949897,83.19467554076539,101.10294117647058,101.58668730650156
4,Notre Dame,Auburn,14.5,101.39318885448918,103.71517027863777,112.14953271028037,106.14152202937248
5,Arizona State,UMass Lowell,-7.5,85.75958489478236,88.64226001729605,,
6,North Florida,Presbyterian,7.5,112.450521770421,95.35804246131703,109.67327459618208,84.43465491923641
7,New Mexico,UT Arlington,-14.0,105.27793374508703,89.13531723750702,116.66209168267912,92.64342574800988
8,California,Montana State,-13.5,118.80481337956353,110.13665102998165,117.38056013179572,91.98242723778144
9,Hawaii,Niagara,-13.5,123.79227053140099,99.6376811594203,99.03306300686212,111.50966936993136
10,Wake Forest,Utah,6.0,120.1403887688985,106.64146868250539,122.55558532011787,79.69461559067774
11,Southern Illinois,Chicago State,-12.5,128.1500572737686,89.49026345933562,89.28571428571429,101.36124121779861
12,Tulsa,Jackson State,-11.5,110.55634807417975,88.4450784593438,92.78350515463917,119.93127147766323
13,South Alabama,Nicholls,-11.5,88.27355510128228,111.96803568110016,,
